source_serial,institute_code,institution_label,source_name_address_excerpt,state_ut,source_page,source_y_top_pt,listing_scope
21,AP043,B.G. College of Special Education,"B.G. College of Special Education, | D.No. 130/7- 3, Kallam Township Green City Phase -2, | piduguralla (Post & Mandal) District –Guntur, Andhra Pradesh | – 522413.",Andhra Pradesh,2,725.27,listed_in_2026-02-04_register; current_activity_not_assessed
22,AP044,Boggavarapu Guravaiah College of Special Education,"Boggavarapu Guravaiah College of Special | Education, Velpur Village, Atchampet Mandal , Guntur, Dist, | Andhra Pradesh-522410",Andhra Pradesh,3,136.19,listed_in_2026-02-04_register; current_activity_not_assessed
23,AP045,UMA Educational And Techical Society,"UMA Educational And Techical Society, | D.No. 4-54, UMA Manovikas Nagar, Vakalapudi Panchayat, | Kakinada -533005",Andhra Pradesh,3,163.43,listed_in_2026-02-04_register; current_activity_not_assessed
24,AP046,Vyshnavi Special Education Training Institute Tripurantakam,"Vyshnavi Special Education Training Institute | Tripurantakam, Prakasam Dist, Andhra Pradesh- 523326",Andhra Pradesh,3,205.79,listed_in_2026-02-04_register; current_activity_not_assessed
25,AP047,Ambika Sishu Kendra,"Ambika Sishu Kendra, Institute of Cerebral, | D.No. 44/86-C, Prakash Nagar, Kurnool, Andhra Pradesh- | 518004",Andhra Pradesh,3,242.39,listed_in_2026-02-04_register; current_activity_not_assessed
26,AP048,Indlas Hospitals D.No. -29-7-32,"Indlas Hospitals | D.No. -29-7-32, Devi Oil Mill Road, | Suryaraopet, Vijayawada, Andhra Pradesh 520002",Andhra Pradesh,3,292.55,listed_in_2026-02-04_register; current_activity_not_assessed
27,AP049,The Apollo University The Apollo Knowledge City,"The Apollo University | The Apollo Knowledge City, Saketa, Murukambattu, Chittor, | Andhra Pradesh – 517127",Andhra Pradesh,3,337.55,listed_in_2026-02-04_register; current_activity_not_assessed
28,AP050,VISAKHAPATNAM SPEECH AND HEARING CHARITABLE TRUST,"VISAKHAPATNAM SPEECH AND HEARING CHARITABLE | TRUST, | 10-50-37/1, First Floor, Above Prestige Smart Kitcen, Waltair | Main Road, Visakhapatnam, VISAKHAPATANAM, ANDHRA | PRADESH-530003",Andhra Pradesh,3,380.03,listed_in_2026-02-04_register; current_activity_not_assessed
29,AR001,Himalayan University,"Himalayan University, | 401, Takar Complex, Naharlagun, Itanagar Dist. Papumpare, | Arunachal Pradesh – 791110",Arunachal Pradesh,3,449.63,listed_in_2026-02-04_register; current_activity_not_assessed
30,AR002,Hills College of Teacher Education,"Hills College of Teacher Education, | Lekhi, Naharlagun, District – Papumpare, Arunachal | Pradesh791101",Arunachal Pradesh,3,529.55,listed_in_2026-02-04_register; current_activity_not_assessed
31,AR003,Arunachal University of Studies,"Arunachal University of Studies, | NH-52, Namsai, District Lohit, Arunachal Pradesh – 792103.",Arunachal Pradesh,3,565.67,listed_in_2026-02-04_register; current_activity_not_assessed
32,AR004,North East Regional Institute of Rehabilitation Science and Inclusion(NERI-RSI),"North East Regional Institute of Rehabilitation Science | and Inclusion(NERI-RSI), (Under the Aegis of Jarbom | Gamlin Hope Foundation), Opp. Power House, E-Sector, | Naharlagun, Papum Pare District, Arunachal Pradesh 791110",Arunachal Pradesh,3,747.47,listed_in_2026-02-04_register; current_activity_not_assessed
33,AS002,"Shishu Sarothi, Centre for Rehabilitation and Training for Multiple Disability","Shishu Sarothi, | Centre for Rehabilitation and Training for Multiple Disability, | Off. Ramakrishna Mission Road, Birubai, Guwahati, Assam - | 781 016",Assam,4,117.83,listed_in_2026-02-04_register; current_activity_not_assessed
34,AS003,Composite Regional Centre,"Composite Regional Centre, | Govt. of India, PMRT Building, Guwahati Medical College | Hospital Campus, Guwahati, Assam -781 032",Assam,4,184.67,listed_in_2026-02-04_register; current_activity_not_assessed
35,AS004,Lokopriya Gopinath Bordoli Regional Institute of Mental Health,"Lokopriya Gopinath Bordoli Regional Institute of Mental | Health, | Tezpur – 784001, Dist.:- Sonitpur, Post Box no-15, Assam",Assam,4,418.79,listed_in_2026-02-04_register; current_activity_not_assessed
36,AS005,Institute of Yoga and Nutrition Sciences (YNS),"Institute of Yoga and Nutrition Sciences (YNS) | H.O Siddha Point, 2nd Floor, S.J.Road. Athgaon, Guwahati, | Assam",Assam,4,488.39,listed_in_2026-02-04_register; current_activity_not_assessed
37,AS007,National Institute of Public Cooperation and Child Development (NIPCCD),"National Institute of Public Cooperation and Child | Development (NIPCCD), Regional Centre Guwahati, Assam- | 781001",Assam,4,523.43,listed_in_2026-02-04_register; current_activity_not_assessed
38,BR001,Indian Institute of Health Education and Research Health,"Indian Institute of Health Education and Research Health, | Institute Road Beur,Patna, Bihar-800002",Bihar,4,583.07,listed_in_2026-02-04_register; current_activity_not_assessed
39,BR002,J.M. Institute of Speech & Hearing,"J.M. Institute of Speech & Hearing, | 4/5, Inder Puri, P.O. Keshri Nagar, Patna, Bihar – | 800023",Bihar,4,636.35,listed_in_2026-02-04_register; current_activity_not_assessed
40,BR003,Training Centre for the Teachers of the Visually Handicapped,"Training Centre for the Teachers of the Visually | Handicapped, Near Buddh Murti, Kadam Kuan, Patna, Bihar | – 03",Bihar,5,81.23,listed_in_2026-02-04_register; current_activity_not_assessed
41,BR005,Ayurvedic & Magnetotherapy Research Institute (A.M.R.I),"Ayurvedic & Magnetotherapy Research Institute | (A.M.R.I), | N.M.C.H Road, Agamkuan, | P.O. Gulzarbag, Patna, Bihar – 800007",Bihar,5,167.99,listed_in_2026-02-04_register; current_activity_not_assessed
42,BR007,ECOVIC (Environmental Consultancy Vikash Centre),"ECOVIC (Environmental Consultancy Vikash Centre), South | Lakhimbagh (Near Laxmi Narayan Mandir), Manpur, Gaya, | Bihar – 823003",Bihar,5,253.67,listed_in_2026-02-04_register; current_activity_not_assessed
43,BR009,J.M. Institute of Speech & Hearing,"J.M. Institute of Speech & Hearing, | Manaria Chhajan, Turki Dist. – Muzaffarpur (Bihar)",Bihar,5,325.31,listed_in_2026-02-04_register; current_activity_not_assessed
44,BR010,Composite Regional Centre for Skill Development,"Composite Regional Centre for Skill Development, | Rehabilitation & Empowerment of Persons with | Disabilities | SHEIKHPURA (OLD DHARMSHALA), NEAR IGIMS | NURSING COLLEGE, SHEIKHPURA",Bihar,5,530.27,listed_in_2026-02-04_register; current_activity_not_assessed
45,BR012,Jawaharlal Nehru Medical College & Hospital,"Jawaharlal Nehru Medical College & Hospital, Mayaganj, | Bhagalpur, Bihar (DHLS Study Center of AIISH, Mysore)",Bihar,5,697.55,listed_in_2026-02-04_register; current_activity_not_assessed
46,BR013,S.L. Roy Public Health & Research Institute,"S.L. Roy Public Health & Research Institute, Jethuli | Kachidrag, Fathuha, Patna, Bihar – 803201 Ph:",Bihar,5,756.59,listed_in_2026-02-04_register; current_activity_not_assessed
47,BR014,Utakarsh Rehabilitation & Research Institute,"Utakarsh Rehabilitation & Research Institute, | 2H/77, Bahadurpur Housing Colony, Patna - 800026, Bihar- | 800026",Bihar,6,114.71,listed_in_2026-02-04_register; current_activity_not_assessed
48,BR015,Rani Laxmi Mahila Vikas Samiti-Saphal,"Rani Laxmi Mahila Vikas Samiti-Saphal, | Susta Railway Crossing, Ramdayalu Nagar, Bhikhanpura, | Near Hotel Atithi, Manglasthan, Muzaffarpur, | Bihar 842002",Bihar,6,172.79,listed_in_2026-02-04_register; current_activity_not_assessed
49,BR016,S.S. College of Special Education,"S.S. College of Special Education, | Bajrangbali Mandir Ke Niche Bagiche Men, Rehua Road, | Vidhyapith Chowk, Lakhisarai, | Bihar – 811311",Bihar,6,226.19,listed_in_2026-02-04_register; current_activity_not_assessed
50,BR017,Dev Narayan Teacher Training Institute Chini Mill,"Dev Narayan Teacher Training Institute | Chini Mill, Buxar, Post- Gajadhar Ganj, Bihar – 802103",Bihar,6,279.59,listed_in_2026-02-04_register; current_activity_not_assessed
51,BR018,Amity Institute of Clinical Psychology (AICP) Amiy University Bihar,"Amity Institute of Clinical Psychology (AICP) Amiy | University Bihar, | Patna Police Station Bailey Road, Near Rupaspur, Kaliket | Nagar Patna, Bihar-801506",Bihar,6,315.71,listed_in_2026-02-04_register; current_activity_not_assessed
52,BR019,Narayan Paramedical Institute & Allied Sciences,"Narayan Paramedical Institute & Allied Sciences, | Gopal Narayan Singh University, Jamuhar Rohtas (Sasaram) | Bihar 821305, ROHTAS, BIHAR-821305",Bihar,6,366.83,listed_in_2026-02-04_register; current_activity_not_assessed
53,CH001,Post Graduate Institute of Medical Education and Research,"Post Graduate Institute of Medical Education and | Research, | Sector-12, Chandigarh – 160012",Chandigarh,6,421.31,listed_in_2026-02-04_register; current_activity_not_assessed
