source_serial,institute_code,institution_label,source_name_address_excerpt,state_ut,source_page,source_y_top_pt,listing_scope
193,HR076,Green Valley Special School Jamalpur Distt. Bhiwani,"Green Valley Special School | Jamalpur Distt. Bhiwani, Haryana-127035",Haryana,24,309.83,listed_in_2026-02-04_register; current_activity_not_assessed
194,HR077,Gurugram University Sec tor - 51,"Gurugram University | Sec | tor – 51, Mayfield Garden, Gurugram, Haryana- 122003",Haryana,24,341.27,listed_in_2026-02-04_register; current_activity_not_assessed
195,HR078,Department of Clinical Psychology School of Behavioral and Social Sciences,"Department of Clinical Psychology School of Behavioral | and Social Sciences, Manav Rachna International | Institute of Research and Studies Sector-43, Aravalli Hills, | Delhi-Surajkund Road, Faridabad, Haryana – 121004",Haryana,24,405.59,listed_in_2026-02-04_register; current_activity_not_assessed
196,HR079,G.D. Goenka University,"G.D. Goenka University, | GD Goenka Education city, Gurugram, Sohna Road- 122103, | GURUGRAM, HARYANA-122103",Haryana,24,464.63,listed_in_2026-02-04_register; current_activity_not_assessed
197,HR080,"Director, Institute of Hotel & Tourism Management","Director, Institute of Hotel & Tourism Management, | Maharshi Dayanand University Rohtak, Haryana-124001",Haryana,24,551.03,listed_in_2026-02-04_register; current_activity_not_assessed
198,HR081,Department of Clinical Psychology IILM University 1 Knowledge Centre,"Department of Clinical Psychology IILM University | 1 Knowledge Centre, Golf Course Road Sector-53 Haryana | Gurugram –",Haryana,24,596.03,listed_in_2026-02-04_register; current_activity_not_assessed
199,HR082,Chaudhary Devi Lal University SIRSA Chaudhary Devi Lal University Sirsa Haryana-125055,Chaudhary Devi Lal University SIRSA Chaudhary Devi Lal | University Sirsa Haryana-125055,Haryana,24,652.55,listed_in_2026-02-04_register; current_activity_not_assessed
200,HR083,INDERPRASTHA EDUCATION COLLEGE,"INDERPRASTHA EDUCATION COLLEGE, | VPO-NIGANA TEH. KALANAUR ROHTAK, ROHTAK, | HARYANA-124113",Haryana,24,688.19,listed_in_2026-02-04_register; current_activity_not_assessed
201,HR084,GURU JAMBHESHWAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,"GURU JAMBHESHWAR UNIVERSITY OF SCIENCE AND | TECHNOLOGY, | DEPARTMENT OF APPLIED PSYCHOLOGY, | NH-9, DELHI ROAD, HISAR, HARYANA-125001",Haryana,24,727.43,listed_in_2026-02-04_register; current_activity_not_assessed
202,HR085,Chaudhary Bansi Lal University,"Chaudhary Bansi Lal University, | Prem Nagar, Bhiwani, BHIWANI, HARYANA-127031",Haryana,25,81.23,listed_in_2026-02-04_register; current_activity_not_assessed
203,HP001,Composite Regional Centre for Persons with Disabilities,"Composite Regional Centre for Persons with Disabilities, | Near Mahamaya Mandir, Sundernagar, Dist Mandi, Himachal | Pradesh -174 401 /",Himachal Pradesh,25,140.39,listed_in_2026-02-04_register; current_activity_not_assessed
204,HP002,Prem Ashram Institute of Sisters of Charity,"Prem Ashram Institute of Sisters of Charity, | Takka Road Una, P.O. Una, Himachal Pradesh – 174303",Himachal Pradesh,25,344.63,listed_in_2026-02-04_register; current_activity_not_assessed
205,HP003,Babu Jagjivan Ram Trust (regd.) for Social Development,"Babu Jagjivan Ram Trust (regd.) for Social Development, | Arya Estate, Una – Nangal Highway, Mehatpur, Dist – Una, | Himachal Pradesh – 174315",Himachal Pradesh,25,415.67,listed_in_2026-02-04_register; current_activity_not_assessed
206,HP005,Chetna Association House No.: 68,"Chetna Association | House No.: 68, Raura Sector-2, Bilaspur, Himachal | Pradesh – 174001",Himachal Pradesh,25,465.35,listed_in_2026-02-04_register; current_activity_not_assessed
207,HP006,Blooms’ Education Society (Regd.),"Blooms’ Education Society (Regd.), Kot, P.O. Chunahan, | Dist. Mandi, Himachal Pradesh – | 175027 /",Himachal Pradesh,25,522.83,listed_in_2026-02-04_register; current_activity_not_assessed
208,HP007,Aastha Special School,"Aastha Special School, | Near Panchayat Bhawan Pucca Tank Nahan, | District – Sirmour,Himachal Pradesh –173001",Himachal Pradesh,25,574.67,listed_in_2026-02-04_register; current_activity_not_assessed
209,HP008,"H P University, Department of Psychology Gandhi Bhawan","H P University, Department of Psychology | Gandhi Bhawan, shimla Himachal Pradesh – 171005",Himachal Pradesh,25,648.35,listed_in_2026-02-04_register; current_activity_not_assessed
210,JK001,Composite Regional Centre for persons with Disabilities (Ministry of Social Justice & Empowerment),"Composite Regional Centre for persons with Disabilities | (Ministry of Social Justice & Empowerment), Bemina Bye | pass (Near Women’s Polytechnic College), Srinagar Jammu | & Kashmir – 190018",Jammu and Kashmir,25,695.99,listed_in_2026-02-04_register; current_activity_not_assessed
211,JK002,MIER College of Education,"MIER College of Education, (Model Institute of Education & | Research), B.C. Road, Jammu - 180001",Jammu and Kashmir,26,107.87,listed_in_2026-02-04_register; current_activity_not_assessed
212,JK005,Post Graduate Department of Psychiatry,"Post Graduate Department of Psychiatry, Govt. Medical | College Kathi Darwaza, Rainawari Srinagar-190003",Jammu and Kashmir,26,170.03,listed_in_2026-02-04_register; current_activity_not_assessed
213,JKH001,Deepshikha Institute for Child Development & Mental Health,"Deepshikha Institute for Child Development & Mental | Health, (A Unit of Purshree) | Ara Gate, Near Flyover, P.O.-Mahilong, PS- Tatisilway, | Dist-Ranchi, Jharkhand, Pin – 835103",Jharkhand,26,213.95,listed_in_2026-02-04_register; current_activity_not_assessed
214,JKH002,Ranchi Institute of Neuro-Psychiatry & Allied Sciences Kanke,"Ranchi Institute of Neuro-Psychiatry & Allied Sciences | Kanke, Ranchi (RINPAS)-834006 Telefax: 0651- 2450813",Jharkhand,26,280.79,listed_in_2026-02-04_register; current_activity_not_assessed
215,JKH003,Central Institute of Psychiatry,"Central Institute of Psychiatry,(CIP) | Post – Kanke, District – Ranchi, Jharkhand – | 834006",Jharkhand,26,322.07,listed_in_2026-02-04_register; current_activity_not_assessed
216,JKH004,"JEEVAN, Bastacolla","JEEVAN, | Bastacolla, Dhansar, Dhanbad, Jharkhand – | 828106, Jharkhand",Jharkhand,26,384.23,listed_in_2026-02-04_register; current_activity_not_assessed
217,JKH005,J.M. Institute of Speech & Hearing,"J.M. Institute of Speech & Hearing, | V.I.P. Chowk, Court Road, Deoghar, Jharkhand",Jharkhand,26,464.15,listed_in_2026-02-04_register; current_activity_not_assessed
218,JKH007,Dr. Rajendra Institute of Medical Sciences,"Dr. Rajendra Institute of Medical Sciences, Bariyatu, | Ranchi, Jharkhand – 834009 (DHLS Study Center of AllSH, | Mysore)",Jharkhand,26,602.15,listed_in_2026-02-04_register; current_activity_not_assessed
219,JKH008,Buddha Shaikshanik Vikas Parishad,"Buddha Shaikshanik Vikas Parishad, | Viklang Vikas Vidyalaaya, Rajbari, P.O. – Jamtara, Dist – | Jamtara (Jharkhand)- 815351",Jharkhand,26,653.39,listed_in_2026-02-04_register; current_activity_not_assessed
220,JKH009,Institute of Special Education & Training (Run By: Gyan Jyoti School for Deaf & Dumb) Behind Town Hall (Near Golf Ground P.O,"Institute of Special Education & Training | (Run By: Gyan Jyoti School for Deaf & Dumb) Behind | Town Hall (Near Golf Ground P.O., P.S. Dist. Dhanbad, | Jharkhand – 826001",Jharkhand,26,724.43,listed_in_2026-02-04_register; current_activity_not_assessed
221,JKH010,Deaf Dumb & M.R. Residential School Cum Resource Centre,"Deaf Dumb & M.R. Residential School Cum Resource | Centre, | At. Parsoti PO-Kathon (Poraiyahat), Dist. – Godda | – 814133, Jharkhand",Jharkhand,26,774.59,listed_in_2026-02-04_register; current_activity_not_assessed
222,JKH012,Radhika Institute of Special Education (RISE),"Radhika Institute of Special Education (RISE), A Women | Wing of Gyan Jyoti, Near Adarsh Saraswati Vidya Mandir, | Kharni More, Panchrukhi, | G. T. Road, P.O.: Bagdaha, P.S.: Rajganj, Dist.: Dhanbad, | Jharkhand-828113.",Jharkhand,27,161.15,listed_in_2026-02-04_register; current_activity_not_assessed
223,JKH013,"Prerna Trust, Co-operative Colony","Prerna Trust, Co-operative Colony, Near Old Check Post, | Ranchi Patna Road, Hazaribag, Jharkhand-825301",Jharkhand,27,234.83,listed_in_2026-02-04_register; current_activity_not_assessed
224,JKH014,J.M. Institute of Speech & Hearing,"J.M. Institute of Speech & Hearing, Shobha Sadan, Jai | Prakash Nagar (Near Bus Stand), Dhanbad, Jharkhand",Jharkhand,27,275.51,listed_in_2026-02-04_register; current_activity_not_assessed
225,JKH016,"SPARSH, Bilasi","SPARSH, Bilasi, Shivganga, Matri Mandir, Deoghar, | Jharkhand – 814112",Jharkhand,27,328.79,listed_in_2026-02-04_register; current_activity_not_assessed
226,JKH017,Child Concern 1B,"Child Concern | 1B, Subh Gauri Enclaves, Buddha Vihar Colony, Ashok | Nagar, Harmu, Ranchi, Jharkhand -834002",Jharkhand,27,380.03,listed_in_2026-02-04_register; current_activity_not_assessed
227,JKH018,Green Valley Training College Administrative Office:- H/o. Pramod Kumar Dubey,"Green Valley Training College | Administrative Office:- H/o. Pramod Kumar Dubey, Vill.: | Kalajhar, P.O.: Sahu Bahiyar, P.S.: Topchanchi, Dist.: | Dhanbad, Pin – 828402.",Jharkhand,27,430.67,listed_in_2026-02-04_register; current_activity_not_assessed
228,JKH019,AASTHA INSTITUTE OF SPECIAL EDUCATION (Under IARSA) C/o Aastha Rehabilitation Centre,"AASTHA INSTITUTE OF SPECIAL EDUCATION | (Under IARSA) C/o Aastha Rehabilitation Centre, Dhori, Near | G.M. Office, Dhori, P.O. Dhori, Dist- Bokaro-825102, | Jharkhand",Jharkhand,27,490.31,listed_in_2026-02-04_register; current_activity_not_assessed
229,JKH020,Composite Regional Center,"Composite Regional Center, Under Administrative | Control of SVNIRTAR Cuttack, DEPwD, MSJE&E, Govt. of | India, | At - Namkum Block Ranchi, Jharkhand",Jharkhand,27,587.99,listed_in_2026-02-04_register; current_activity_not_assessed
230,JKH021,J M Institue of Speech & Hearing Om Apartment,"J M Institue of Speech & Hearing | Om Apartment, Flat No. 3B, Opp, Hill Tank, Booty Road, | Bariyatu, Ranchi – 834009",Jharkhand,27,655.43,listed_in_2026-02-04_register; current_activity_not_assessed
231,KK001,Dr. S. R. Chandrashekar Institute of Speech & Hearing,"Dr. S. R. Chandrashekar Institute of Speech & Hearing, | Hennur Road, Kariyanapalya, Bangalore, Karnataka – 560084",Karnataka,27,716.63,listed_in_2026-02-04_register; current_activity_not_assessed
232,KK004,St. Agnes Teacher Training Institute for the Special Education,"St. Agnes Teacher Training Institute for the Special | Education, Bendore, Mangalore, | Karnataka –575",Karnataka,28,276.59,listed_in_2026-02-04_register; current_activity_not_assessed
233,KK005,All India Institute for Speech & Hearing,"All India Institute for Speech & Hearing , Naimisham | Campus, | Manasa Gangothri, | Mysore, Karnataka – 570006",Karnataka,28,334.07,listed_in_2026-02-04_register; current_activity_not_assessed
234,KK006,Dr. M.V.Shetty College of Speech and Hearing,"Dr. M.V.Shetty College of Speech and Hearing, Dr. M. V. | Shetty Memorial Trust, A. B. Shetty Circle, Mangalore, | Karnataka -575013",Karnataka,28,674.27,listed_in_2026-02-04_register; current_activity_not_assessed
235,KK008,Karnataka Parents’ Association for the Mentally Retarded Citizens,"Karnataka Parents’ Association for the Mentally Retarded | Citizens, Regd. Office: #18, Bysandra Main Road, Jayanagr | 1st Block (East), Bangalore, Karnataka – 560011",Karnataka,28,787.67,listed_in_2026-02-04_register; current_activity_not_assessed
236,KK009,Department of Clinical Psychology,"Department of Clinical Psychology, School of Allied | Health Sciences, Manipal University, Manipal, Karnataka – | 575 104",Karnataka,29,141.35,listed_in_2026-02-04_register; current_activity_not_assessed
237,KK014,College of Allied Health Sciences,"College of Allied Health Sciences, Manipal Academy of | Higher Education (Deemed University), Manipal, Karnataka- | 576119",Karnataka,29,212.99,listed_in_2026-02-04_register; current_activity_not_assessed
238,KK015,Govt. Teacher Training Centre for the Hearing Handicapped,"Govt. Teacher Training Centre for the Hearing | Handicapped, Pulikeshi Road, Tilak Nagar, Mysore, | Karnataka – 21",Karnataka,29,292.91,listed_in_2026-02-04_register; current_activity_not_assessed
239,KK016,Helen Keller Govt. Teacher Training Centre for the Visually Handicapped Children,"Helen Keller Govt. Teacher Training Centre for the | Visually Handicapped Children, Govt. of Karnataka, Tilak | Nagar, Mysore, Karnataka -21",Karnataka,29,361.91,listed_in_2026-02-04_register; current_activity_not_assessed
240,KK017,The Spastics Society of Karnataka,"The Spastics Society of Karnataka, | 31, 5th Cross, off-5th Main, Indira Nagar,1st stage, Bangalore, | Karnataka – 560038",Karnataka,29,439.79,listed_in_2026-02-04_register; current_activity_not_assessed
241,KK018,J.S.S Mahavidyapeetha,"J.S.S Mahavidyapeetha, J.S.S. Institute of Speech & | Hearing, | Ooty Road, Mysore, Karnataka -570025",Karnataka,29,534.35,listed_in_2026-02-04_register; current_activity_not_assessed
242,KK019,Mobility India,"Mobility India, | Post Box No. 7812, 1st & 1st ‘A’ Cross, J.P. | Nagar, 2nd Phase, Bangalore, Karnataka – 560078",Karnataka,29,647.75,listed_in_2026-02-04_register; current_activity_not_assessed
243,KK020,Kasturba Medical College,"Kasturba Medical College, Manipal Academy of Higher | Education(Deemed University), | ght House Hill Road, Post Box No. 53, Mangalore, Karnataka - | 575 001",Karnataka,29,772.07,listed_in_2026-02-04_register; current_activity_not_assessed
244,KK021,Samvaad Institute of Speech & Hearing,"Samvaad Institute of Speech & Hearing, #18, 1st Cross 5th | Main, Anandagiri Extension, Hebbal, Bangalore, Karnataka – | 560024",Karnataka,30,116.75,listed_in_2026-02-04_register; current_activity_not_assessed
245,KK024,Mangalore Academy of Professional Studies,"Mangalore Academy of Professional Studies, Vyasa | Nagar, Behind KPT Ground, Kadri Hills, Mangalore, | Karnataka-575004",Karnataka,30,210.35,listed_in_2026-02-04_register; current_activity_not_assessed
246,KK026,Naseema Institute of Speech & Hearing Site No. 2,"Naseema Institute of Speech & Hearing Site No. 2, | Banashankari, 6th Stage, 4th Block, Chikegowdanapalya, | Bangalore – 560 062",Karnataka,30,304.91,listed_in_2026-02-04_register; current_activity_not_assessed
247,KK027,NITTE (Deemed to be University) University Enclave,"NITTE (Deemed to be University) | University Enclave, Medical sciences Complex, Deralakatte, | Mangaluru, Karnataka – 575018",Karnataka,30,445.67,listed_in_2026-02-04_register; current_activity_not_assessed
248,KK029,Father Muller College (Unit of Father Muller Charitable Institutions),"Father Muller College | (Unit of Father Muller Charitable Institutions), Father | Muller Road, Kankanady, | Mangalore, Karnataka-575002",Karnataka,30,534.47,listed_in_2026-02-04_register; current_activity_not_assessed
249,KK033,National Institute of Mental Health & Neurosciences (NIMHANS) Post Box No. 2900,"National Institute of Mental Health & Neurosciences | (NIMHANS) | Post Box No. 2900, Hosur Road, Bangalore, Karnataka – | 560029",Karnataka,30,641.03,listed_in_2026-02-04_register; current_activity_not_assessed
250,KK034,Foundation for Action Motivation& Empowerment (F.A.M.E,"Foundation for Action Motivation& Empowerment | (F.A.M.E., India) | 156, 36th Cross, 2nd Main, Jayanagar 7th Block, Bangalore, | Karnataka – 560082",Karnataka,30,701.15,listed_in_2026-02-04_register; current_activity_not_assessed
251,KK037,Asha Kirana School for the Mentally Retarded,"Asha Kirana School for the Mentally Retarded, Rotary 75th | Anniversary Trust, Vidhya Nagar, Shimoga, Karnataka – | 577201",Karnataka,30,762.83,listed_in_2026-02-04_register; current_activity_not_assessed
252,KK039,Information and Resource Centre (IRC),"Information and Resource Centre (IRC), | No. 9 Shankarmutt Road, Shankarpuram, Basavangudi, | Bangalore, Karnataka – 560004",Karnataka,31,81.23,listed_in_2026-02-04_register; current_activity_not_assessed
253,KK040,The Association of People with Disability,"The Association of People with Disability, | 6th Cross, Hutchins Road, Off, Hennur Road, Lingarajapuram, | St. Thomas Town Post, Bangalore, Karnataka – 560084",Karnataka,31,133.55,listed_in_2026-02-04_register; current_activity_not_assessed
254,KK041,JSS Institute of Speech & Hearing,"JSS Institute of Speech & Hearing, Near Thapovan | Kelageri, Dharwad, Karnataka – 580007",Karnataka,31,195.71,listed_in_2026-02-04_register; current_activity_not_assessed
255,KK042,Shravana Institute of Speech and Hearing,"Shravana Institute of Speech and Hearing, Omkar Arcade, | Opp-St. Philomenta’s High School, Infantry Road, | Cantonment, Ballari- Karnataka, Pin583104",Karnataka,31,255.83,listed_in_2026-02-04_register; current_activity_not_assessed
256,KK043,Dharwad Institute of Mental Health & Neurosciences (D.I.M.H.A.N.S.),"Dharwad Institute of Mental Health & Neurosciences | (D.I.M.H.A.N.S.), | District –Dharwad, Karnataka",Karnataka,31,297.11,listed_in_2026-02-04_register; current_activity_not_assessed
257,KK044,Composite Regional Centre,"Composite Regional Centre, | Davangere-Devaraj URS Layout, | B-Block, Davangere, Karnataka -577006",Karnataka,31,338.87,listed_in_2026-02-04_register; current_activity_not_assessed
258,KK045,A.J. Institute of Medical Sciences and Research Centre,"A.J. Institute of Medical Sciences and Research Centre, | NH-66 Kuntikana Mangaluru,Dakshina Kannada Karnataka - | 575004",Karnataka,31,411.47,listed_in_2026-02-04_register; current_activity_not_assessed
259,KK046,J.S.S. Medical College (Deemed to be Univeristy) Sri Shivarathreeshware Nagara,"J.S.S. Medical College (Deemed to be Univeristy) | Sri Shivarathreeshware Nagara, Dist- Mysuru, MYSURU, | KARNATAKA-570015",Karnataka,31,477.95,listed_in_2026-02-04_register; current_activity_not_assessed
260,KK047,Department of Speech Pathology and Audiology,"Department of Speech Pathology and Audiology, | Sri Devaraj Urs Academy of Higher Education and Research | (A Deemed to be University) | Tamaka, Kolar-563103",Karnataka,31,545.39,listed_in_2026-02-04_register; current_activity_not_assessed
261,KK048,Department of Audiology and Speech Language Pathology,"Department of Audiology and Speech Language | Pathology, Yenepoya Medical College & Hospital, | Yenepoya (Deem to be University), University Road, | Nityananda Nagar, PO- Derelakatte, District – Mangalore | Karnataka- 575018",Karnataka,31,587.75,listed_in_2026-02-04_register; current_activity_not_assessed
262,KK049,K.L.E. Academy of Higher Education & Research,"K.L.E. Academy of Higher Education & Research, | Nehru Nagar, Belgavi, Karnataka-590010",Karnataka,31,670.91,listed_in_2026-02-04_register; current_activity_not_assessed
263,KK050,Kateel Ashok Pai Memorial Institute of Allied Health Sciences,"Kateel Ashok Pai Memorial Institute of Allied Health | Sciences, | Manasa Trust “vinodini Building”, Park Extension, | Durgigudi, Shivamogga, Karnataka – 577201",Karnataka,31,711.71,listed_in_2026-02-04_register; current_activity_not_assessed
264,KK051,Manipal College of Health Professionals,"Manipal College of Health Professionals, Manipal | Academy of Higher Education (Intitute of Eminence, | Deemd to be University) | Manipal, Karnataka-576104",Karnataka,32,81.23,listed_in_2026-02-04_register; current_activity_not_assessed
265,KK052,SDM College of Medical Sciences and Hospital SDM University Department of Speech and Hearing,"SDM College of Medical Sciences and Hospital SDM | University | Department of Speech and Hearing, Satturu Dhawad, | Karnataka-580009",Karnataka,32,139.91,listed_in_2026-02-04_register; current_activity_not_assessed
266,KK054,Institute of Speech and Hearing,"Institute of Speech and Hearing, SET Degree College, | (Unit of Sarvodaya Educational Trust), 11/2 Magadi, Main | Road, Agrahara, Dasarahalli, District – Bangalore, Karnataka | – 560079",Karnataka,32,194.87,listed_in_2026-02-04_register; current_activity_not_assessed
267,KK056,Christ (Deemed to be University),"Christ (Deemed to be University), | Dharmaram College Post, Hosur Road, Bengaluru, Karnataka | – 560029",Karnataka,32,249.83,listed_in_2026-02-04_register; current_activity_not_assessed
268,KK057,MVM College of Speech and Hearing 1336/72/2,"MVM College of Speech and Hearing | 1336/72/2, Vikas Layout, Venkatala Maruthinagar, Yelahanka, | Bengaluru – 560064",Karnataka,32,295.31,listed_in_2026-02-04_register; current_activity_not_assessed
269,KK058,National Institute of Public Cooperation and Child Development,"National Institute of Public Cooperation and Child | Development, Regional Centre Bengaluru, Ministry of | Women and Child Development, Govt. of India, | #18, Opposite Tenneco, Yelahanka New Town, Bengaluru- | 560064, Karnataka",Karnataka,32,341.99,listed_in_2026-02-04_register; current_activity_not_assessed
270,KL003,Nirmala Sadan Training College for Special Education Ernakulam (Distt.),"Nirmala Sadan Training College for Special Education | Ernakulam (Distt.), Muvattupuzha, Kerala – | 686661",Kerala,32,418.43,listed_in_2026-02-04_register; current_activity_not_assessed
271,KL004,Central Institute on Mental Retardation,"Central Institute on Mental Retardation, Murinjapalam, | Medical College P.O Thiruvananthapuram, Kerala- 011",Kerala,32,576.23,listed_in_2026-02-04_register; current_activity_not_assessed
272,KL005,C.S.I. Training Centre for Teachers of the Hearing Impaired,"C.S.I. Training Centre for Teachers of the Hearing | Impaired, P.O. Valakom, Kollam – 691 332",Kerala,32,636.35,listed_in_2026-02-04_register; current_activity_not_assessed
273,KL006,Kerala Federation of the Blind,"Kerala Federation of the Blind, | Training Centre for the Teachers of V.H., Kunnukuzhi, | Thiruvananthapuram, 695 037",Kerala,32,694.43,listed_in_2026-02-04_register; current_activity_not_assessed
274,KL008,National Institute of Speech & Hearing (NISH) Karimanal,"National Institute of Speech & Hearing (NISH) | Karimanal, NISH Road, Akkulam, Sreekaryam, | P.O. Trivandurum, Kerala – 695583",Kerala,32,747.71,listed_in_2026-02-04_register; current_activity_not_assessed
275,KL010,Faith India Institute of Special Education,"Faith India Institute of Special Education, | (Foundation for Ability Improvement and | Technology for the Handicapped – India), | Viyyakkurssi (PO), Thachampara (Via) Palakkad (Dist.), | Kerala – 678593",Kerala,33,230.15,listed_in_2026-02-04_register; current_activity_not_assessed
276,KL011,Training Institute of Multi Rehabilitation Technology “Mercy Home”,"Training Institute of Multi Rehabilitation Technology | “Mercy Home”,Chethipuzha, Kurisumoodu PO, | Changanassery 686 | 104,Kottayam Dist., Kerala",Kerala,33,308.03,listed_in_2026-02-04_register; current_activity_not_assessed
277,KL012,K.V.M College of Special Education,"K.V.M College of Special Education , | KVM Trust Complex, Post Box No. 30, Cherthala, Alappuzha | District, Kerala – 688539",Kerala,33,363.47,listed_in_2026-02-04_register; current_activity_not_assessed
278,KL013,C.H. Mohammed Koya Memorial State Institute for the Mentally Challenged (SIMC),"C.H. Mohammed Koya Memorial State Institute for the | Mentally Challenged (SIMC), Pangappara, | Thiruvananthapuram, Kerala-695 581",Kerala,33,558.47,listed_in_2026-02-04_register; current_activity_not_assessed
279,KL014,Sneha Sadan College of Special Education,"Sneha Sadan College of Special Education, Ankamaly-683 | 572, Ernakulam District , Kerala - 683572",Kerala,33,742.55,listed_in_2026-02-04_register; current_activity_not_assessed
280,KL015,Pope Paul Mercy Home Teachers Training Centre,"Pope Paul Mercy Home Teachers Training Centre, | Peringandoor-680 581, Thrissur , Dist. Kerala",Kerala,34,132.47,listed_in_2026-02-04_register; current_activity_not_assessed
281,KL017,Institute for Communicative & Cognitive Neuro Sciences (ICCONS),"Institute for Communicative & Cognitive Neuro Sciences | (ICCONS), Kavalappara, Shoranur, Palghat District, Kerala – | 679 523",Kerala,34,208.31,listed_in_2026-02-04_register; current_activity_not_assessed
282,KL019,Raksha Society for the Care of Children with Multiple Handicaps,"Raksha Society for the Care of Children with Multiple | Handicaps, “Yasmin Manzil” VII / 370, Darragh – es – Salaam | Road, Kochangadi, Cochin, Kerala– 682 002",Kerala,34,277.19,listed_in_2026-02-04_register; current_activity_not_assessed
283,KL020,Janey College of Allied Health Eroor,"Janey College of Allied Health Eroor, Ernakulam, Kerala- | 682306",Kerala,34,338.39,listed_in_2026-02-04_register; current_activity_not_assessed
284,KL021,Mar Thoma College of Special Education Badiakda,"Mar Thoma College of Special Education Badiakda, | Perdala P.O., Kasargod, Kerala – 671551/",Kerala,34,398.63,listed_in_2026-02-04_register; current_activity_not_assessed
285,KL022,RSMH Teacher Training Institute,"RSMH Teacher Training Institute, | 15/769 , Velliparamba, Calicut, Kerala – 673008",Kerala,34,520.91,listed_in_2026-02-04_register; current_activity_not_assessed
286,KL023,AWH Special College,"AWH Special College, | 21/10, Kallai, Calicut, Kerala– 673003",Kerala,34,581.03,listed_in_2026-02-04_register; current_activity_not_assessed
287,KL027,St. John The Baptist’s College of Special Education,"St. John The Baptist’s College of Special Education, | Nedumkunnam-686542 Kottayam Dist., Kerala /",Kerala,34,794.87,listed_in_2026-02-04_register; current_activity_not_assessed
288,KL031,Tropical Health Foundation of India,"Tropical Health Foundation of India, | Guruvayoor Road, Arthat P.O. Kunnamkulam, Dist- | Thrissur, Kerala – 680503 /",Kerala,35,123.47,listed_in_2026-02-04_register; current_activity_not_assessed
289,KL032,AWH College of Education,"AWH College of Education, Cheruvannur, Feroke P.O, | Calicut, Kerala–673 631",Kerala,35,175.91,listed_in_2026-02-04_register; current_activity_not_assessed
290,KL033,Amrita School of Medicine,"Amrita School of Medicine, | Amrita Institute of Medical Sciences & Research Centre | AIMS Ponekakara PO, Kochi, Ernakulam District, Kerala – | 682041",Kerala,35,365.15,listed_in_2026-02-04_register; current_activity_not_assessed
291,KL035,Baby Memorial College of Allied Medical Sciences,"Baby Memorial College of Allied Medical Sciences, P.O, | Kuthiravattom, | District – Kozhikode, Kerala – 673016",Kerala,35,451.91,listed_in_2026-02-04_register; current_activity_not_assessed
292,KL036,Government Special Teachers Training Centre,"Government Special Teachers Training Centre, | Parappanangadi, Chettippadi P.O., Malappuram District, | Kerala.",Kerala,35,509.39,listed_in_2026-02-04_register; current_activity_not_assessed
293,KL039,Government Special Teachers Training Centre,"Government Special Teachers Training Centre, Blind | School Compound, Kasargod, Kasargod District, Kerala",Kerala,35,558.59,listed_in_2026-02-04_register; current_activity_not_assessed
294,KL040,Kusumagiri Mental Health Centre,"Kusumagiri Mental Health Centre, Kusumagiri P.O., | Kakkanad, Kochi – 682030, Kerala /",Kerala,35,602.99,listed_in_2026-02-04_register; current_activity_not_assessed
295,KL041,St. John of God College of Special Education,"St. John of God College of Special Education, Vellor P.O. | Pamapady, Kottyama, Kerala – 686501",Kerala,35,659.51,listed_in_2026-02-04_register; current_activity_not_assessed
296,KL042,Yemvees Institute For Prosthetics & Orthotics,"Yemvees Institute For Prosthetics & Orthotics, | Chakrapanipuram, Uzhamalakkal Nedumangad, | Thiruvananthapuram, Kerala – 695541",Kerala,35,719.51,listed_in_2026-02-04_register; current_activity_not_assessed
297,KL044,Department of Psychology Calicut University- PO,"Department of Psychology Calicut University- PO, District | –Malappuran, Kerala PIn- 673635",Kerala,35,768.35,listed_in_2026-02-04_register; current_activity_not_assessed
298,KL045,Composite Regional Centre For Persons With Disabilities,"Composite Regional Centre For Persons With | Disabilities, | Kozhikode-Imhans Campus, Govt. Medical College, P.O. | Kozhikode, Kerala-673008",Kerala,36,114.71,listed_in_2026-02-04_register; current_activity_not_assessed
299,KL046,INSTITUTE OF MENTAL HEALTH & NEUROSCINCES (IMHANS),"INSTITUTE OF MENTAL HEALTH & NEUROSCINCES | (IMHANS), GOVT. MEDICAL COLLEGE CAMPUS, | KOZHIKODE - 673008.",Kerala,36,251.63,listed_in_2026-02-04_register; current_activity_not_assessed
300,KL047,Rajive Gandhi Memorial Education & Charitable Society,"Rajive Gandhi Memorial Education & Charitable Society, | Meeliyat, Trikaripur, PO/Dist- Kasargod, | Kerala-671310",Kerala,36,310.19,listed_in_2026-02-04_register; current_activity_not_assessed
301,KL048,National Institute of Physical Medicine and Rehabilitation,"National Institute of Physical Medicine and | Rehabilitation, | Vallakkunnu, P.O. Thrissur, | Kalletumkara, Kerala-680683",Kerala,36,361.55,listed_in_2026-02-04_register; current_activity_not_assessed
302,KL049,School of Behavioural Sciences - Mahatma Gandhi University,"School of Behavioural Sciences – Mahatma Gandhi | University, | Priyadershini Hills PO, Kottayam, Kerala -686560",Kerala,36,423.71,listed_in_2026-02-04_register; current_activity_not_assessed
303,LDK001,University of Ladakh,"University of Ladakh, Leh Campus, Taru Thang, UT Ladakh- | 194101",Ladakh,36,500.63,listed_in_2026-02-04_register; current_activity_not_assessed
