institute_code,prior_label,final_label,source_page,change_reason
DL040,Mothers Care College of Special Education (Run by Kartikeyan Educational Soceity) Plot No. 66 Sector -A9,Mothers Care College of Special Education (Run by Kartikeyan Educational Soceity) Plot No. 66 Sector -A9,13,normalized label matched source text
DL041,Aryan College of Special Education Plot No. 75,Aryan College of Special Education Plot No. 75,13,normalized label matched source text
GO001,Lokvishwas Pratishthan,Lokvishwas Pratishthan,13,normalized label matched source text
GO004,Dnyanvardhini Divyang Training College,Dnyanvardhini Divyang Training College,13,normalized label matched source text
GO005,Composite Regional Centre for Skill Development,Composite Regional Centre for Skill Development,13,normalized label matched source text
GJ001,B.M. Institute of Mental Health,B.M. Institute of Mental Health,13,normalized label matched source text
GJ003,Sh. Shah K.L. Institute for the Deaf,Sh. Shah K.L. Institute for the Deaf,13,normalized label matched source text
GJ005,Training College for Teachers of the Deaf & Blind,Training College for Teachers of the Deaf & Blind,13,normalized label matched source text
GJ006,"Akshar Trust, 11th Floor","Akshar Trust, 11th Floor",14,normalized label matched source text
GJ007,Gujarat Kelvani Trust,Gujarat Kelvani Trust,14,normalized label matched source text
GJ010,‘Ankur’ Special School for Mentally Retarded,‘Ankur’ Special School for Mentally Retarded,14,normalized label matched source text
GJ011,Blind Welfare Council,Blind Welfare Council,14,normalized label matched source text
GJ012,Smt. P N R S (Talajwala) Society for Relief & Rehabilitation of the Disabled,Smt. P N R S (Talajwala) Society for Relief & Rehabilitation of the Disabled,14,normalized label matched source text
GJ015,Govt. Prosthetic & Orthotic College,Govt. Prosthetic & Orthotic College,14,normalized label matched source text
GJ016,C.U. Shah Medical College,C.U. Shah Medical College,14,normalized label matched source text
GJ019,Sh. P K Mehta College for the Special Education,Sh. P K Mehta College for the Special Education,14,normalized label matched source text
GJ020,School of Behavioural Sciences,School of Behavioural Sciences,15,normalized label matched source text
GJ021,Composite Regional Centre for Persons with Disabilities,Composite Regional Centre for Persons with Disabilities,15,normalized label matched source text
GJ022,Sardar Patel University,Sardar Patel University,15,normalized label matched source text
GJ024,Sumandeep Vidyapeeth Deemed to be University,Sumandeep Vidyapeeth Deemed to be University,15,normalized label matched source text
GJ025,Indian Institute of Teacher Education Centre of Education,Indian Institute of Teacher Education Centre of Education,15,normalized label matched source text
GJ026,Gujarat Medical Education and Research Society,Gujarat Medical Education and Research Society,15,normalized label matched source text
GJ027,Rashtriya Raksha University At Lavad,Rashtriya Raksha University At Lavad,15,normalized label matched source text
GJ028,Government Spine Institute,Government Spine Institute,15,normalized label matched source text
HR001,"ARPAN, Institute for the Mentally Handicapped","ARPAN, Institute for the Mentally Handicapped",15,normalized label matched source text
HR002,"Department of Special Education, Kurukshetra University","Department of Special Education, Kurukshetra University",15,normalized label matched source text
HR003,Shravan Institute of Special Education & Research,Shravan Institute of Special Education & Research,16,normalized label matched source text
HR006,Society for Advanced Study in Rehabilitation,Society for Advanced Study in Rehabilitation,16,normalized label matched source text
HR007,State Institute for Rehabilitation Training & Research (SIRTAR),State Institute for Rehabilitation Training & Research (SIRTAR),16,normalized label matched source text
HR008,Haryana College of Special Education & Rehabilitation,Haryana College of Special Education & Rehabilitation,16,normalized label matched source text
HR009,Vision institute for Applied Studies,Vision institute for Applied Studies,17,normalized label matched source text
HR012,Adarsh Rehabilitation Centre for Mentally and Physically Handicapped children,Adarsh Rehabilitation Centre for Mentally and Physically Handicapped children,17,normalized label matched source text
HR013,Jan Nayak Ch. Devi Lal (PG) College of Education,Jan Nayak Ch. Devi Lal (PG) College of Education,18,normalized label matched source text
HR014,ST. PAUL COLLEGE OF EDUCATION,ST. PAUL COLLEGE OF EDUCATION,18,normalized label matched source text
HR015,MR DAV College of Education,MR DAV College of Education,18,normalized label matched source text
HR016,Tapan Rehabilitation Society,Tapan Rehabilitation Society,18,normalized label matched source text
HR017,Red Cross Institute for Education & Rehabilitation of Mentally Challenged Children,Red Cross Institute for Education & Rehabilitation of Mentally Challenged Children,18,normalized label matched source text
HR018,Amity University Haryana,Amity University Haryana,19,normalized label matched source text
HR019,Shivom Rehabilitation Centre (SRC),Shivom Rehabilitation Centre (SRC),19,normalized label matched source text
HR020,R.P. Institute of Speech & Audiology,R.P. Institute of Speech & Audiology,19,normalized label matched source text
HR021,Jind Central Jaycees Education and Charitable Society,Jind Central Jaycees Education and Charitable Society,19,normalized label matched source text
HR022,Shri Sachha Special Education for the Deaf,Shri Sachha Special Education for the Deaf,19,normalized label matched source text
HR023,Misri Devi Rehabilitation Centre,Misri Devi Rehabilitation Centre,19,normalized label matched source text
HR024,Amar Jyoti Foundation,Amar Jyoti Foundation,19,normalized label matched source text
HR026,SSM Instiutute of Rehabilitation Training and Research for Inclusive Education (Divyangjan),SSM Instiutute of Rehabilitation Training and Research for Inclusive Education (Divyangjan),20,normalized label matched source text
HR027,Institute for Advanced Research and Social Action,Institute for Advanced Research and Social Action,20,normalized label matched source text
HR028,K.V.M. College of Special Education,K.V.M. College of Special Education,20,normalized label matched source text
HR029,RENU VIDYA MANDIR (An Institute of Special Education Vocational Rehabilitation Training and Research),RENU VIDYA MANDIR (An Institute of Special Education Vocational Rehabilitation Training and Research),20,normalized label matched source text
HR030,S.M. Rehabilitation & Research Centre,S.M. Rehabilitation & Research Centre,20,normalized label matched source text
HR034,Samarth Institute of Inclusive Education House No. 223/4 Subhash Nagar Street No.-3 Bahadurgarh-124507 Haryana,Samarth Institute of Inclusive Education House No. 223/4 Subhash Nagar Street No.-3 Bahadurgarh-124507 Haryana,20,normalized label matched source text
HR036,TEERTHANKER K.R.D. COLLEGE PLOT NO 35,TEERTHANKER K.R.D. COLLEGE PLOT NO 35,20,normalized label matched source text
HR038,JBDM College of Special Education (Run by JBDM Educational and Social Welfare Society) VPO Saral Distt Bhiwani,JBDM College of Special Education (Run by JBDM Educational and Social Welfare Society) VPO Saral Distt Bhiwani,21,normalized label matched source text
HR039,Adarsh Rehabilitation Institute of Vocational Training Rohtak Road,Adarsh Rehabilitation Institute of Vocational Training Rohtak Road,21,normalized label matched source text
HR040,SHREE GURU GOBIND SINGH TRICENTENARY UNIVERSITY CHANDU-BUDHERA GURGAON- BADLI ROAD GURGAON-122505,SHREE GURU GOBIND SINGH TRICENTENARY UNIVERSITY CHANDU-BUDHERA GURGAON- BADLI ROAD GURGAON-122505,21,normalized label matched source text
HR041,Green Valley Institute of Spl.Edu. & Rehabilitation Centre,Green Valley Institute of Spl.Edu. & Rehabilitation Centre,21,normalized label matched source text
HR042,Aadhar College of Special Education VPO-Agroha,Aadhar College of Special Education VPO-Agroha,21,normalized label matched source text
HR043,ST. Teresa Inclusive School ITI Chowk Rathdhana Road Sonipat,ST. Teresa Inclusive School ITI Chowk Rathdhana Road Sonipat,21,normalized label matched source text
HR044,Ideal College of Special Education Village Mahlana,Ideal College of Special Education Village Mahlana,21,normalized label matched source text
HR045,J. M. Rehabilitation and Research Centre Near Adarsh Vidya Mandir Nangal Barrier Ateli Mandi,J. M. Rehabilitation and Research Centre Near Adarsh Vidya Mandir Nangal Barrier Ateli Mandi,21,normalized label matched source text
HR046,Geetanjali College for Special Education,Geetanjali College for Special Education,22,normalized label matched source text
HR047,Armaan Teacher Training Institute,Armaan Teacher Training Institute,22,normalized label matched source text
HR048,Faculty of Education,Faculty of Education,22,normalized label matched source text
HR049,Master Khub Ram College,Master Khub Ram College,22,normalized label matched source text
HR050,Haryana Welfare Society for Persons With Speech & Hearing Impairment,Haryana Welfare Society for Persons With Speech & Hearing Impairment,22,normalized label matched source text
HR051,M M Institute of Medical Science and Research,M M Institute of Medical Science and Research,22,normalized label matched source text
HR052,R K College of Education (Rehabilitation) 21st K M Stone,R K College of Education (Rehabilitation) 21st K M Stone,22,normalized label matched source text
HR053,Central University of Haryana,Central University of Haryana,22,normalized label matched source text
HR054,B.R.D.E.W.S. Baba Ramdas Institute of Special Education VPO- Nuna Majra Firani Road,B.R.D.E.W.S. Baba Ramdas Institute of Special Education VPO- Nuna Majra Firani Road,22,normalized label matched source text
HR055,D.B.M. Special College of Education V.P.O. Madina,D.B.M. Special College of Education V.P.O. Madina,22,normalized label matched source text
HR056,Om Sterling Global University,Om Sterling Global University,22,normalized label matched source text
HR057,Maharshi Dayanand University Rohtak,Maharshi Dayanand University Rohtak,22,normalized label matched source text
HR058,Darpan Rehabilitation & Research Centre Sec-09,Darpan Rehabilitation & Research Centre Sec-09,23,normalized label matched source text
HR059,S. R. College of Education IMT,S. R. College of Education IMT,23,normalized label matched source text
HR060,JBM College of Education for Rehabilitation Training and Research Near Old Bus Stand,JBM College of Education for Rehabilitation Training and Research Near Old Bus Stand,23,normalized label matched source text
HR061,College of Modern Education,College of Modern Education,23,normalized label matched source text
HR062,Scope Rehabilitation Centre,Scope Rehabilitation Centre,23,normalized label matched source text
HR063,Education Concern,Education Concern,23,normalized label matched source text
HR064,Adarsh Vidya Divyang Kalyan and Punarvas Kendra Saman Rohtak,Adarsh Vidya Divyang Kalyan and Punarvas Kendra Saman Rohtak,23,normalized label matched source text
HR065,Shiva Divyang Kalyan and Punarvas Kendra Punarvas Kendra,Shiva Divyang Kalyan and Punarvas Kendra Punarvas Kendra,23,normalized label matched source text
HR066,Nav Nirman Rehabilitation & Research Center,Nav Nirman Rehabilitation & Research Center,23,normalized label matched source text
HR067,Ram Krishan Rehabilitation School,Ram Krishan Rehabilitation School,23,normalized label matched source text
HR068,Bright Rehabilitation Centre (Run by Adarsh Siksha and Samaj Uthan Samiti) VPO- Khasa Mahajan,Bright Rehabilitation Centre (Run by Adarsh Siksha and Samaj Uthan Samiti) VPO- Khasa Mahajan,23,normalized label matched source text
HR069,College of Special Education & Training (Run by The Advance Society for the differently Abled),College of Special Education & Training (Run by The Advance Society for the differently Abled),23,normalized label matched source text
HR070,Aastha Institute for Divyangjan (Run by aastha Rehabilitation and Educational Society),Aastha Institute for Divyangjan (Run by aastha Rehabilitation and Educational Society),23,normalized label matched source text
HR071,Thomas Edison Inclusive School,Thomas Edison Inclusive School,23,normalized label matched source text
HR072,Shri Omvir Singh Institute of Rehabilitation,Shri Omvir Singh Institute of Rehabilitation,23,normalized label matched source text
HR073,Jindal Institute of Behavioral Sciences O.P. Jindal Global (Institutions of Eminence Deemed to be University),Jindal Institute of Behavioral Sciences O.P. Jindal Global (Institutions of Eminence Deemed to be University),24,normalized label matched source text
HR074,MCM College of Special Education Run by Maya Chand Memorial Education Society Kilazafargarh,MCM College of Special Education Run by Maya Chand Memorial Education Society Kilazafargarh,24,normalized label matched source text
HR075,Lt. Mahipat Singh College of Education (Run by Lt. Mahipat Memorial Shiksha Samiti) Sarai Aurangabad,Lt. Mahipat Singh College of Education (Run by Lt. Mahipat Memorial Shiksha Samiti) Sarai Aurangabad,24,normalized label matched source text
HR076,Green Valley Special School Jamalpur Distt. Bhiwani,Green Valley Special School Jamalpur Distt. Bhiwani,24,normalized label matched source text
HR077,Gurugram University Sec tor - 51,Gurugram University Sec tor - 51,24,normalized label matched source text
HR078,Department of Clinical Psychology School of Behavioral and Social Sciences,Department of Clinical Psychology School of Behavioral and Social Sciences,24,normalized label matched source text
HR079,G.D. Goenka University,G.D. Goenka University,24,normalized label matched source text
HR080,"Director, Institute of Hotel & Tourism Management","Director, Institute of Hotel & Tourism Management",24,normalized label matched source text
HR081,Department of Clinical Psychology IILM University 1 Knowledge Centre,Department of Clinical Psychology IILM University 1 Knowledge Centre,24,normalized label matched source text
HR082,Chaudhary Devi Lal University SIRSA Chaudhary Devi Lal University Sirsa Haryana-125055,Chaudhary Devi Lal University SIRSA Chaudhary Devi Lal University Sirsa Haryana-125055,24,normalized label matched source text
HR083,INDERPRASTHA EDUCATION COLLEGE,INDERPRASTHA EDUCATION COLLEGE,24,normalized label matched source text
HR084,GURU JAMBHESHWAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,GURU JAMBHESHWAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,24,normalized label matched source text
HR085,Chaudhary Bansi Lal University,Chaudhary Bansi Lal University,25,normalized label matched source text
HP001,Composite Regional Centre for Persons with Disabilities,Composite Regional Centre for Persons with Disabilities,25,normalized label matched source text
HP002,Prem Ashram Institute of Sisters of Charity,Prem Ashram Institute of Sisters of Charity,25,normalized label matched source text
HP003,Babu Jagjivan Ram Trust (regd.) for Social Development,Babu Jagjivan Ram Trust (regd.) for Social Development,25,normalized label matched source text
HP005,Chetna Association House No.: 68,Chetna Association House No.: 68,25,normalized label matched source text
HP006,Blooms’ Education Society (Regd.),Blooms’ Education Society (Regd.),25,normalized label matched source text
HP007,Aastha Special School,Aastha Special School,25,normalized label matched source text
HP008,"H P University, Department of Psychology Gandhi Bhawan","H P University, Department of Psychology Gandhi Bhawan",25,normalized label matched source text
JK001,Composite Regional Centre for persons with Disabilities (Ministry of Social Justice & Empowerment),Composite Regional Centre for persons with Disabilities (Ministry of Social Justice & Empowerment),25,normalized label matched source text
JK002,MIER College of Education,MIER College of Education,26,normalized label matched source text
JK005,Post Graduate Department of Psychiatry,Post Graduate Department of Psychiatry,26,normalized label matched source text
JKH001,Deepshikha Institute for Child Development & Mental Health,Deepshikha Institute for Child Development & Mental Health,26,normalized label matched source text
JKH002,Ranchi Institute of Neuro-Psychiatry & Allied Sciences Kanke,Ranchi Institute of Neuro-Psychiatry & Allied Sciences Kanke,26,normalized label matched source text
JKH003,Central Institute of Psychiatry,Central Institute of Psychiatry,26,normalized label matched source text
JKH004,"JEEVAN, Bastacolla","JEEVAN, Bastacolla",26,normalized label matched source text
JKH005,J.M. Institute of Speech & Hearing,J.M. Institute of Speech & Hearing,26,normalized label matched source text
JKH007,Dr. Rajendra Institute of Medical Sciences,Dr. Rajendra Institute of Medical Sciences,26,normalized label matched source text
JKH008,Buddha Shaikshanik Vikas Parishad,Buddha Shaikshanik Vikas Parishad,26,normalized label matched source text
JKH009,Institute of Special Education & Training (Run By: Gyan Jyoti School for Deaf & Dumb) Behind Town Hall (Near Golf Ground P.O,Institute of Special Education & Training (Run By: Gyan Jyoti School for Deaf & Dumb) Behind Town Hall (Near Golf Ground P.O,26,normalized label matched source text
JKH010,Deaf Dumb & M.R. Residential School Cum Resource Centre,Deaf Dumb & M.R. Residential School Cum Resource Centre,26,normalized label matched source text
JKH012,Radhika Institute of Special Education (RISE),Radhika Institute of Special Education (RISE),27,normalized label matched source text
JKH013,"Prerna Trust, Co-operative Colony","Prerna Trust, Co-operative Colony",27,normalized label matched source text
JKH014,J.M. Institute of Speech & Hearing,J.M. Institute of Speech & Hearing,27,normalized label matched source text
JKH016,"SPARSH, Bilasi","SPARSH, Bilasi",27,normalized label matched source text
JKH017,Child Concern 1B,Child Concern 1B,27,normalized label matched source text
JKH018,Green Valley Training College Administrative Office:- H/o. Pramod Kumar Dubey,Green Valley Training College Administrative Office:- H/o. Pramod Kumar Dubey,27,normalized label matched source text
JKH019,AASTHA INSTITUTE OF SPECIAL EDUCATION (Under IARSA) C/o Aastha Rehabilitation Centre,AASTHA INSTITUTE OF SPECIAL EDUCATION (Under IARSA) C/o Aastha Rehabilitation Centre,27,normalized label matched source text
JKH020,Composite Regional Center,Composite Regional Center,27,normalized label matched source text
JKH021,J M Institue of Speech & Hearing Om Apartment,J M Institue of Speech & Hearing Om Apartment,27,normalized label matched source text
KK001,Dr. S. R. Chandrashekar Institute of Speech & Hearing,Dr. S. R. Chandrashekar Institute of Speech & Hearing,27,normalized label matched source text
KK004,St. Agnes Teacher Training Institute for the Special Education,St. Agnes Teacher Training Institute for the Special Education,28,normalized label matched source text
KK005,All India Institute for Speech & Hearing,All India Institute for Speech & Hearing,28,normalized label matched source text
KK006,Dr. M.V.Shetty College of Speech and Hearing,Dr. M.V.Shetty College of Speech and Hearing,28,normalized label matched source text
KK008,Karnataka Parents’ Association for the Mentally Retarded Citizens,Karnataka Parents’ Association for the Mentally Retarded Citizens,28,normalized label matched source text
KK009,Department of Clinical Psychology,Department of Clinical Psychology,29,normalized label matched source text
KK014,College of Allied Health Sciences,College of Allied Health Sciences,29,normalized label matched source text
KK015,Govt. Teacher Training Centre for the Hearing Handicapped,Govt. Teacher Training Centre for the Hearing Handicapped,29,normalized label matched source text
KK016,Helen Keller Govt. Teacher Training Centre for the Visually Handicapped Children,Helen Keller Govt. Teacher Training Centre for the Visually Handicapped Children,29,normalized label matched source text
KK017,The Spastics Society of Karnataka,The Spastics Society of Karnataka,29,normalized label matched source text
KK018,J.S.S Mahavidyapeetha,J.S.S Mahavidyapeetha,29,normalized label matched source text
KK019,"Mobility India, 1st 1st Post Box No. 7812",Mobility India,29,corrected from source name/address column
KK020,Kasturba Medical College,Kasturba Medical College,29,normalized label matched source text
KK021,1st 5th Samvaad Institute of Speech & Hearing,Samvaad Institute of Speech & Hearing,30,corrected from source name/address column
KK024,Mangalore Academy of Professional Studies,Mangalore Academy of Professional Studies,30,normalized label matched source text
KK026,Naseema Institute of Speech & Hearing Site No. 2,Naseema Institute of Speech & Hearing Site No. 2,30,normalized label matched source text
KK027,NITTE (Deemed to be University) University Enclave,NITTE (Deemed to be University) University Enclave,30,normalized label matched source text
KK029,Father Muller College (Unit of Father Muller Charitable Institutions),Father Muller College (Unit of Father Muller Charitable Institutions),30,normalized label matched source text
KK033,National Institute of Mental Health & Neurosciences (NIMHANS) Post Box No. 2900,National Institute of Mental Health & Neurosciences (NIMHANS) Post Box No. 2900,30,normalized label matched source text
KK034,Foundation for Action Motivation& Empowerment (F.A.M.E,Foundation for Action Motivation& Empowerment (F.A.M.E,30,normalized label matched source text
KK037,75th Asha Kirana School for the Mentally Retarded,Asha Kirana School for the Mentally Retarded,30,corrected from source name/address column
KK039,Information and Resource Centre (IRC),Information and Resource Centre (IRC),31,normalized label matched source text
KK040,The Association of People with Disability,The Association of People with Disability,31,normalized label matched source text
KK041,JSS Institute of Speech & Hearing,JSS Institute of Speech & Hearing,31,normalized label matched source text
KK042,Shravana Institute of Speech and Hearing,Shravana Institute of Speech and Hearing,31,normalized label matched source text
KK043,Dharwad Institute of Mental Health & Neurosciences (D.I.M.H.A.N.S.),Dharwad Institute of Mental Health & Neurosciences (D.I.M.H.A.N.S.),31,normalized label matched source text
KK044,Composite Regional Centre,Composite Regional Centre,31,normalized label matched source text
KK045,A.J. Institute of Medical Sciences and Research Centre,A.J. Institute of Medical Sciences and Research Centre,31,normalized label matched source text
KK046,J.S.S. Medical College (Deemed to be Univeristy) Sri Shivarathreeshware Nagara,J.S.S. Medical College (Deemed to be Univeristy) Sri Shivarathreeshware Nagara,31,normalized label matched source text
KK047,Department of Speech Pathology and Audiology,Department of Speech Pathology and Audiology,31,normalized label matched source text
KK048,Department of Audiology and Speech Language Pathology,Department of Audiology and Speech Language Pathology,31,normalized label matched source text
KK049,K.L.E. Academy of Higher Education & Research,K.L.E. Academy of Higher Education & Research,31,normalized label matched source text
KK050,Kateel Ashok Pai Memorial Institute of Allied Health Sciences,Kateel Ashok Pai Memorial Institute of Allied Health Sciences,31,normalized label matched source text
KK051,Manipal College of Health Professionals,Manipal College of Health Professionals,32,normalized label matched source text
KK052,SDM College of Medical Sciences and Hospital SDM University Department of Speech and Hearing,SDM College of Medical Sciences and Hospital SDM University Department of Speech and Hearing,32,normalized label matched source text
KK054,Institute of Speech and Hearing,Institute of Speech and Hearing,32,normalized label matched source text
KK056,Christ (Deemed to be University),Christ (Deemed to be University),32,normalized label matched source text
KK057,MVM College of Speech and Hearing 1336/72/2,MVM College of Speech and Hearing 1336/72/2,32,normalized label matched source text
KK058,National Institute of Public Cooperation and Child Development,National Institute of Public Cooperation and Child Development,32,normalized label matched source text
KL003,Nirmala Sadan Training College for Special Education Ernakulam (Distt.),Nirmala Sadan Training College for Special Education Ernakulam (Distt.),32,normalized label matched source text
KL004,Central Institute on Mental Retardation,Central Institute on Mental Retardation,32,normalized label matched source text
KL005,C.S.I. Training Centre for Teachers of the Hearing Impaired,C.S.I. Training Centre for Teachers of the Hearing Impaired,32,normalized label matched source text
KL006,Kerala Federation of the Blind,Kerala Federation of the Blind,32,normalized label matched source text
KL008,National Institute of Speech & Hearing (NISH) Karimanal,National Institute of Speech & Hearing (NISH) Karimanal,32,normalized label matched source text
KL010,Faith India Institute of Special Education,Faith India Institute of Special Education,33,normalized label matched source text
KL011,Training Institute of Multi Rehabilitation Technology “Mercy Home”,Training Institute of Multi Rehabilitation Technology “Mercy Home”,33,normalized label matched source text
KL012,K.V.M College of Special Education,K.V.M College of Special Education,33,normalized label matched source text
KL013,C.H. Mohammed Koya Memorial State Institute for the Mentally Challenged (SIMC),C.H. Mohammed Koya Memorial State Institute for the Mentally Challenged (SIMC),33,normalized label matched source text
KL014,Sneha Sadan College of Special Education,Sneha Sadan College of Special Education,33,normalized label matched source text
KL015,Pope Paul Mercy Home Teachers Training Centre,Pope Paul Mercy Home Teachers Training Centre,34,normalized label matched source text
KL017,Institute for Communicative & Cognitive Neuro Sciences (ICCONS),Institute for Communicative & Cognitive Neuro Sciences (ICCONS),34,normalized label matched source text
KL019,Raksha Society for the Care of Children with Multiple Handicaps,Raksha Society for the Care of Children with Multiple Handicaps,34,normalized label matched source text
KL020,Janey College of Allied Health Eroor,Janey College of Allied Health Eroor,34,normalized label matched source text
KL021,Mar Thoma College of Special Education Badiakda,Mar Thoma College of Special Education Badiakda,34,normalized label matched source text
KL022,RSMH Teacher Training Institute,RSMH Teacher Training Institute,34,normalized label matched source text
KL023,AWH Special College,AWH Special College,34,normalized label matched source text
KL027,St. John The Baptist’s College of Special Education,St. John The Baptist’s College of Special Education,34,normalized label matched source text
KL031,Tropical Health Foundation of India,Tropical Health Foundation of India,35,normalized label matched source text
KL032,AWH College of Education,AWH College of Education,35,normalized label matched source text
KL033,Amrita School of Medicine,Amrita School of Medicine,35,normalized label matched source text
KL035,Baby Memorial College of Allied Medical Sciences,Baby Memorial College of Allied Medical Sciences,35,normalized label matched source text
KL036,Government Special Teachers Training Centre,Government Special Teachers Training Centre,35,normalized label matched source text
KL039,Government Special Teachers Training Centre,Government Special Teachers Training Centre,35,normalized label matched source text
KL040,Kusumagiri Mental Health Centre,Kusumagiri Mental Health Centre,35,normalized label matched source text
KL041,St. John of God College of Special Education,St. John of God College of Special Education,35,normalized label matched source text
KL042,Yemvees Institute For Prosthetics & Orthotics,Yemvees Institute For Prosthetics & Orthotics,35,normalized label matched source text
KL044,Department of Psychology Calicut University- PO,Department of Psychology Calicut University- PO,35,normalized label matched source text
KL045,Composite Regional Centre For Persons With Disabilities,Composite Regional Centre For Persons With Disabilities,36,normalized label matched source text
KL046,INSTITUTE OF MENTAL HEALTH & NEUROSCINCES (IMHANS),INSTITUTE OF MENTAL HEALTH & NEUROSCINCES (IMHANS),36,normalized label matched source text
KL047,Rajive Gandhi Memorial Education & Charitable Society,Rajive Gandhi Memorial Education & Charitable Society,36,normalized label matched source text
KL048,National Institute of Physical Medicine and Rehabilitation,National Institute of Physical Medicine and Rehabilitation,36,normalized label matched source text
KL049,School of Behavioural Sciences - Mahatma Gandhi University,School of Behavioural Sciences - Mahatma Gandhi University,36,normalized label matched source text
LDK001,University of Ladakh,University of Ladakh,36,normalized label matched source text
MP001,Digdarshika Institute of Rehabilitation & Research H.No. 10,Digdarshika Institute of Rehabilitation & Research H.No. 10,36,normalized label matched source text
MP003,Mahesh Dristihein Kalyan Sangh,Mahesh Dristihein Kalyan Sangh,36,normalized label matched source text
MP005,Institute for Hearing Impaired & Resource Centre,Institute for Hearing Impaired & Resource Centre,36,normalized label matched source text
MP006,Composite Regional Centre for Persons with Disabilities (C.R.C),Composite Regional Centre for Persons with Disabilities (C.R.C),37,normalized label matched source text
MP007,Shiv Kalyan Evam Shikshan Samiti,Shiv Kalyan Evam Shikshan Samiti,37,normalized label matched source text
MP009,Deaf Dumb Association Indore,Deaf Dumb Association Indore,37,normalized label matched source text
MP010,Manovikas College of Special Education (run by M.P. Viklang Sahayata Samiti,Manovikas College of Special Education (run by M.P. Viklang Sahayata Samiti,37,normalized label matched source text
MP011,Gurukul College of Special Education,Gurukul College of Special Education,37,normalized label matched source text
MP012,Welfare Association for the Disabled,Welfare Association for the Disabled,37,normalized label matched source text
MP013,Sri Aurbindo Institute of Medical Sciences (SAIMS),Sri Aurbindo Institute of Medical Sciences (SAIMS),37,normalized label matched source text
MP014,Netaji Subash Chandra Bose Medical College (N.S.C.B),Netaji Subash Chandra Bose Medical College (N.S.C.B),37,normalized label matched source text
MP015,M. P. Welfare Association for the Blind,M. P. Welfare Association for the Blind,38,normalized label matched source text
MP016,Sharada Arunoday Kalyankari Shiksha Samiti,Sharada Arunoday Kalyankari Shiksha Samiti,38,normalized label matched source text
MP017,Gwalior Mansik Arogyashala Jail Road,Gwalior Mansik Arogyashala Jail Road,38,normalized label matched source text
MP018,Bhagwan Singh Social Welfare Foundation Society,Bhagwan Singh Social Welfare Foundation Society,38,normalized label matched source text
MP019,Amar Jyoti School & Rehabilitation Centre Near IT Park,Amar Jyoti School & Rehabilitation Centre Near IT Park,38,normalized label matched source text
MP021,"S. S. College, (Run by Chouhan Educational society) Sunkhedi via Danish Kunj","S. S. College, (Run by Chouhan Educational society) Sunkhedi via Danish Kunj",38,normalized label matched source text
MP023,Viklang Seva Bharti,Viklang Seva Bharti,38,normalized label matched source text
MP025,Society for community Development Training and Research,Society for community Development Training and Research,38,normalized label matched source text
MP027,Madhuri Aayaam Education And Welfare Society,Madhuri Aayaam Education And Welfare Society,38,normalized label matched source text
MP028,New Era College Of Special Education,New Era College Of Special Education,38,normalized label matched source text
MP029,RAJRANI SEWA AVAM SHIKSHAN PRASHIKSHAN AND SOCIAL WELFARE SOCIETY C/O DR SHRAWAN KUMAR TIWARI VILL-POST JP PURAM MAHADEVA WARD,RAJRANI SEWA AVAM SHIKSHAN PRASHIKSHAN AND SOCIAL WELFARE SOCIETY C/O DR SHRAWAN KUMAR TIWARI VILL-POST JP PURAM MAHADEVA WARD,39,normalized label matched source text
MP030,Bhagwan Singh D.Ed SE(MR) College,Bhagwan Singh D.Ed SE(MR) College,39,normalized label matched source text
MP031,Amity Institute of Behavioural & Allied Sciences,Amity Institute of Behavioural & Allied Sciences,39,normalized label matched source text
MP032,Swami Vivekanand College (Pragatisheel Viklang Sansar),Swami Vivekanand College (Pragatisheel Viklang Sansar),39,normalized label matched source text
MP033,GURUKUL COLLEGE OF SPECIAL EDUCATION NH-75,GURUKUL COLLEGE OF SPECIAL EDUCATION NH-75,39,normalized label matched source text
MP034,Vivekanand College CWSN Hostel,Vivekanand College CWSN Hostel,39,normalized label matched source text
MP035,Bardoli Jankal Evam Vikas Samiti,Bardoli Jankal Evam Vikas Samiti,39,normalized label matched source text
MP036,National Institute of Mental Health Rehabilitation,National Institute of Mental Health Rehabilitation,39,normalized label matched source text
MP037,SNEH-Institute for Learning & Empowerment- Suraj,SNEH-Institute for Learning & Empowerment- Suraj,39,normalized label matched source text
MP038,Man College of Special Education & Psychological Studies,Man College of Special Education & Psychological Studies,39,normalized label matched source text
MP039,Unique Mook Badhir Sewa Samiti,Unique Mook Badhir Sewa Samiti,40,normalized label matched source text
MP040,Kartikay Institute of Rehabilitation and Training Centre,Kartikay Institute of Rehabilitation and Training Centre,40,normalized label matched source text
MP041,Radharaman Special Education,Radharaman Special Education,40,normalized label matched source text
MP042,Youth of Sausar Association,Youth of Sausar Association,40,normalized label matched source text
MP043,Nirvan shikshan Sansthan Samiti,Nirvan shikshan Sansthan Samiti,40,normalized label matched source text
MP044,Swami Vivekanand Mahavidyala Mohalla-Janakpur,Swami Vivekanand Mahavidyala Mohalla-Janakpur,40,normalized label matched source text
MP045,Lt. Vijay Singh Memorial Training Research & Rehabilitation Institute,Lt. Vijay Singh Memorial Training Research & Rehabilitation Institute,40,normalized label matched source text
